79,Alyson Churchill,SO-2,Florida State,05:29.8,20:29.7,67
80,Keelah Barger,SR-4,Utah,05:30.0,20:30.3,68
81,Siona Chisholm,SO-2,Notre Dame,05:30.0,20:30.4,69
82,Sarah Schmitt,JR-3,Indiana,05:30.0,20:30.4,
83,Lucy Jenks,SO-2,Stanford,05:30.0,20:30.5,70
84,Agnes McTighe,SO-2,Florida State,05:30.1,20:30.9,71
85,Kenzie Doyle,JR-3,UMass Lowell,05:30.2,20:31.0,
86,Sami Corman,SR-4,Georgetown,05:30.3,20:31.5,72
87,Elizabeth Mancini,SR-4,La Salle,05:30.3,20:31.6,
88,Ryann Helmers,SR-4,Ole Miss,05:30.4,20:31.8,
89,Harper McClain,SO-2,Oregon,05:30.7,20:33.2,73
90,Brooke Rauber,FR-1,NC State,05:30.8,20:33.3,74
91,Stephanie Moss,SO-2,Oklahoma State,05:30.9,20:34.0,75
92,Dana Feyen,JR-3,Iowa State,05:31.1,20:34.5,
93,Audrey Dadamio,SO-2,Stanford,05:31.2,20:34.8,76
94,Shea Ruhly,JR-3,Wisconsin,05:31.2,20:34.9,77
95,Bryn Morley,SR-4,Northern Arizona,05:31.6,20:36.6,78
96,Lydia Miller,SO-2,Lipscomb,05:31.7,20:36.8,
97,Samantha Stieve,JR-3,Wisconsin,05:31.7,20:36.9,79
98,Sydney Seymour,SR-4,NC State,05:31.7,20:36.9,80
99,Alexis Kebbe,SO-2,Northern Arizona,05:31.8,20:37.2,81
100,Samantha Tran,JR-3,Michigan,05:31.8,20:37.3,82
101,Mia Beckham,SR-4,Butler,05:31.9,20:37.4,
102,Ariel Keklak,SR-4,Utah,05:32.0,20:37.8,83
103,Annasophia Keller,SR-4,Notre Dame,05:32.0,20:38.0,84
104,Lucinda Crouch,SR-4,Wisconsin,05:32.1,20:38.3,85
105,Emily Covert,SO-2,Colorado,05:32.3,20:39.0,86
106,Taryn O'Neill,SR-4,Northern Arizona,05:32.5,20:39.9,87
107,Halle Hamilton,SO-2,Air Force,05:32.6,20:40.3,
108,Eva Klingbeil,FR-1,North Carolina,05:32.7,20:40.5,88
109,Abbe Goldstein,SR-4,New Mexico,05:32.9,20:41.1,89
110,Irene Rono,JR-3,Abilene Christian,05:33.1,20:41.9,
111,Anastaysia Davis,SO-2,BYU,05:33.2,20:42.5,90
112,Meagan Van Pelt,SR-4,Northern Arizona,05:33.3,20:42.8,91
113,Sydney Thorvaldson,FR-1,Arkansas,05:33.4,20:42.9,92
114,Esther Seeland,JR-3,Virginia,05:33.4,20:43.1,93
115,Makenna Veen,SO-2,Michigan State,05:33.4,20:43.2,94
116,Rachel McCardell,SR-4,Northwestern,05:33.5,20:43.3,95
117,Charlotte Wood,JR-3,West Virginia,05:33.6,20:43.8,96
118,Perri Bockrath,SR-4,Kentucky,05:33.7,20:44.4,
119,Olivia Borowiak,JR-3,DePaul,05:33.8,20:44.6,
120,Madelynn Hill,JR-3,Iowa State,05:33.8,20:44.7,
121,Riley Stewart,FR-1,Stanford,05:33.9,20:45.1,97
122,Gionna Quarzo,SO-2,NC State,05:34.1,20:45.7,98
123,Melissa Riggins,FR-1,Georgetown,05:34.1,20:45.8,99
124,Abigail Spiers,SR-4,Syracuse,05:34.2,20:46.1,100
125,Kaitlyn Hynes,SO-2,Michigan State,05:34.3,20:46.4,101
126,Mikaela Lucki,SR-4,West Virginia,05:34.4,20:46.9,102
127,Faith Linga,JR-3,Toledo,05:34.5,20:47.2,103
128,Maddy Denner,JR-3,Notre Dame,05:34.6,20:47.5,104
129,Kaitlyn Barthell,SR-4,Colorado,05:34.6,20:47.6,105
130,Fatima Alanis,SO-2,North Carolina,05:34.7,20:48.0,106
131,Mariah Wehrle,SO-2,Indiana,05:34.8,20:48.3,
132,Malia Pivec,SR-4,Oregon,05:34.9,20:48.7,107
133,Erin Vringer,FR-1,Utah,05:35.0,20:49.2,108
134,Andrea Markezich,JR-3,Washington,05:35.1,20:49.4,109
135,Chloe Hershenow,JR-3,Tulsa,05:35.1,20:49.6,
136,Grace Connolly,SO-2,Stanford,05:35.4,20:50.6,110
137,Lily Tomasula-Martin,SR-4,Colorado St.,05:35.6,20:51.2,111
138,Kimberley May,SO-2,Providence,05:35.6,20:51.3,112
139,Sophia Jacobs-Townsley,JR-3,Syracuse,05:35.6,20:51.4,113
140,Mazzie Melaney,SR-4,Utah Valley,05:35.7,20:51.6,114
141,Samantha Saenz,SR-4,Michigan,05:35.8,20:52.0,115
142,Gracie Morris,SO-2,TCU,05:35.9,20:52.4,
143,Katelyn Mitchem,SR-4,Wyoming,05:35.9,20:52.5,
144,Claudia Burgess,JR-3,Colorado St.,05:36.0,20:52.7,116
145,Christina Geisler,SR-4,Oregon State,05:36.1,20:53.0,117
146,Aliandrea Upshaw,SO-2,New Mexico,05:36.2,20:53.7,118
147,Madison Heisterman,SR-4,Washington,05:36.3,20:53.8,119
148,Klaudia Kazimierska,FR-1,Oregon,05:36.3,20:54.0,120
149,Victoria Heiligenthal,JR-3,Wisconsin,05:36.9,20:56.1,121
150,Maelle Porcher,FR-1,CBU,05:36.9,20:56.3,122
151,Billah Jepkirui,FR-1,Oklahoma State,05:37.0,20:56.4,123
152,Danielle Page,SR-4,Michigan,05:37.0,20:56.6,124
153,Taryn Parks,SO-2,North Carolina,05:37.1,20:56.9,125
154,Caila Odekirk,SO-2,Utah Valley,05:37.2,20:57.3,126
155,Elka Machan,SO-2,Alabama,05:37.3,20:57.7,127
156,Lily Tuck,JR-3,Providence,05:37.3,20:57.8,128
157,Niamh O'Mahony,FR-1,Providence,05:37.5,20:58.3,129
158,Naomi Smith,SO-2,Washington,05:37.6,20:58.9,130
159,Camryn Menninger,SO-2,Virginia,05:38.1,21:00.6,131
160,Vivian Hacker,JR-3,Wisconsin,05:38.2,21:00.9,132
161,Ari Marks,JR-3,Northwestern,05:38.3,21:01.4,133
162,Emily Chaston,SO-2,Colorado St.,05:38.3,21:01.5,134
163,Alissa Fielding,JR-3,BYU,05:38.5,21:02.0,135
164,Katelyn Stewart-Barnett,FR-1,Michigan State,05:38.5,21:02.3,136
165,Yasmine Abbes,SO-2,Florida State,05:38.8,21:03.1,137
166,Lauren Freeland,SO-2,Michigan State,05:39.0,21:03.9,138
167,Hannah Branch,SR-4,Utah Valley,05:39.0,21:04.1,139
168,Jaybe Shufelberger,JR-3,Arkansas State,05:39.1,21:04.3,
169,Maja Dzialoszewska,SO-2,CBU,05:39.1,21:04.5,140
170,Sophia Nordenholz,FR-1,Washington,05:39.2,21:04.8,141
171,Alexa Westley,JR-3,Wisconsin,05:39.3,21:05.0,142
172,Melissa Berry,JR-3,Oregon,05:39.4,21:05.5,143
173,Katherine Hessler,SO-2,Northwestern,05:39.5,21:05.9,144
174,Ella Borsheim,FR-1,Washington,05:39.6,21:06.2,145
175,Grace Molloy,JR-3,Michigan State,05:39.8,21:07.1,146
176,Morgan Jensen,SO-2,Utah,05:40.0,21:07.8,147
177,Elia Ton-That,FR-1,Columbia,05:40.3,21:08.9,
178,Taylor Ewert,SO-2,Arkansas,05:40.4,21:09.4,148
179,Samantha Hastie,FR-1,Michigan,05:40.5,21:09.5,149
180,Akemi Von Scherr,SO-2,Ohio State,05:40.7,21:10.2,150
181,Ashlyn Hillyard,JR-3,Colorado St.,05:40.9,21:11.0,151
182,Maggie Zwahlen,SR-4,Utah Valley,05:41.1,21:11.9,152
183,Sophie Daigle,SR-4,Louisiana,05:41.2,21:12.3,
184,Caitlin Wilkey,SO-2,Florida State,05:41.3,21:12.4,153
185,Eleanor Lawler,SR-4,Syracuse,05:41.3,21:12.6,154
186,Eleanor Mancini,SR-4,La Salle,05:41.3,21:12.7,
187,Katherine Dowie,JR-3,West Virginia,05:41.5,21:13.2,155
188,Carmen Riano,SO-2,Miami (Ohio),05:41.6,21:13.5,
189,Ivy Gonzales,JR-3,Syracuse,05:41.8,21:14.5,156
190,Chloe Gonzalez,SO-2,Georgetown,05:42.0,21:15.1,157
191,Phoebe Anderson,SO-2,Columbia,05:42.4,21:16.6,
192,Cassie Kearney,JR-3,Michigan,05:42.5,21:17.0,158
193,Rebecca Clark Pottorff,JR-3,Florida State,05:42.6,21:17.4,159
194,Orla O'Connor,SR-4,Providence,05:42.8,21:18.1,160
195,Ava Earl,SO-2,Northwestern,05:42.9,21:18.4,161
196,Emily Vining,JR-3,Toledo,05:42.9,21:18.5,162
197,Linnaea Kavulich,JR-3,Virginia,05:43.2,21:19.8,163
198,Ari Trimble,FR-1,Utah Valley,05:43.3,21:20.0,164
199,Emilia Mikszuta,SO-2,CBU,05:43.5,21:20.6,165
200,Emily Bardwell,SO-2,Michigan State,05:43.5,21:20.9,166
201,Micaela Rivera,SR-4,Utah State,05:43.7,21:21.4,
202,Anna Mate,SR-4,CBU,05:43.7,21:21.6,167
203,Carmen Alder,SO-2,BYU,05:43.8,21:22.0,168
204,Lauren Peterson,SO-2,Utah,05:44.5,21:24.6,169
205,Katie Rose Blachowicz,SR-4,Notre Dame,05:44.6,21:24.7,170
206,Abi Archer,SO-2,Stanford,05:44.7,21:25.1,171
207,Liz Galarza,SR-4,Georgia Tech,05:45.3,21:27.5,
208,Olivia Howell,JR-3,Illinois,05:45.4,21:27.9,
209,Lou Trois,JR-3,Toledo,05:45.5,21:28.1,172
210,Julia Dames,SO-2,Toledo,05:45.6,21:28.8,173
211,Gracie Hyde,SR-4,Arkansas,05:45.8,21:29.5,174
212,Beth Ramos,JR-3,Texas,05:45.9,21:29.8,175
213,Madison Flippence,JR-3,Utah Valley,05:46.1,21:30.6,176
214,Greta Karinauskaite,SO-2,CBU,05:46.3,21:31.2,177
215,Rebecca Bergnes,SO-2,Florida State,05:46.4,21:31.6,178
216,Katy-Ann McDonald,SR-4,Georgetown,05:46.5,21:32.1,179
217,Emma Watcke,SO-2,Wisconsin,05:46.7,21:32.7,180
218,Kalea Bartolotto,JR-3,Northwestern,05:46.8,21:33.1,181
219,Emily Van Valkenburg,FR-1,Oregon State,05:46.9,21:33.6,182
220,Sivan Auerbach,SO-2,Oklahoma State,05:47.6,21:36.0,183
221,Shona McCulloch,SR-4,Syracuse,05:48.4,21:38.9,184
222,Jami Reed,JR-3,Alabama,05:48.8,21:40.7,185
223,Anna Hightower,SO-2,Northwestern,05:49.3,21:42.3,186
224,Jeanne Reix Charat,JR-3,West Virginia,05:49.4,21:42.7,187
225,Mikenna Vanderheyden,JR-3,West Virginia,05:49.5,21:43.1,188
226,Adoette Vaughan,JR-3,Arkansas,05:49.7,21:43.9,189
227,Madeline Vining,JR-3,Toledo,05:49.8,21:44.1,190
228,Alisa Meraz-Fishbein,SO-2,Colorado,05:49.9,21:44.8,191
229,Annabel Stafford,SO-2,Colorado St.,05:50.4,21:46.4,192
230,Valery Tobias,SR-4,Texas,05:50.6,21:47.4,193
231,Kayla Windemuller,JR-3,Michigan,05:51.0,21:48.8,194
232,Alex O'Neill,JR-3,Providence,05:51.3,21:49.9,195
233,Audrey DeSantis,FR-1,Ohio State,05:51.5,21:50.6,196
234,Whitney Valenti,FR-1,Colorado,05:51.9,21:52.0,197
235,Audrey Suarez,SO-2,Stanford,05:52.6,21:54.7,198
236,Nicole Louw,SO-2,Oregon,05:52.7,21:54.9,199
237,Gia Napolean,SR-4,Ohio State,05:53.0,21:56.1,200
238,Marina Trave,SO-2,CBU,05:53.9,21:59.4,201
239,Mary Ellen Eudaly,FR-1,Arkansas,05:55.1,22:03.9,202
240,Kate Laurent,FR-1,Oregon State,05:55.1,22:04.2,203
241,Eva Jess,SO-2,Texas,05:56.6,22:09.8,204
242,Kelsie Vicknair,SO-2,Texas,05:57.5,22:13.1,205
243,Isabel Hebner,SR-4,Texas,05:57.6,22:13.4,206
244,Olivia Verbeke,SR-4,Northwestern,05:59.2,22:19.2,207
245,Alyssa Duhart,JR-3,Texas,05:59.7,22:21.3,208
246,McKinley Fielding,FR-1,Toledo,06:00.8,22:25.4,209
247,Quinn McConnell,SO-2,Colorado St.,06:02.1,22:30.0,210
248,Sam McDonnell,FR-1,Alabama,06:04.0,22:37.2,211
249,Monica Hebner,SR-4,Texas,06:05.1,22:41.5,212
250,Annie Allen,SO-2,Ohio State,06:05.4,22:42.3,213
251,Teaghan Knox,FR-1,Oregon State,06:06.4,22:46.1,214
252,Olivia Joly,SO-2,Syracuse,06:06.6,22:46.8,215
253,Zoe Simmons,JR-3,Oregon State,06:13.6,23:13.2,216
